Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Australia and New Zealand,total,Sanitation,2017,28.12913,8201435.1022,Basic service
sdg,Australia and New Zealand,total,Sanitation,2017,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2017,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2017,71.86345,20952780.09392,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2017,0.00742,2162.80388,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2017,99.97479,29149027.08497,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2017,100,4083436.34903,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2017,3.42668,859168.87499,Basic service
sdg,Australia and New Zealand,total,Drinking water,2017,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2017,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2017,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2017,96.544,24206421.37276,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2017,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2017,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2017,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2017,0.02521,7350.91503,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2017,0,0,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2017,0.02932,7351.40322,Unimproved
sdg,Central and Southern Asia,total,Hygiene,2017,58.38168,1132502056.27472,Basic service
sdg,Central and Southern Asia,rural,Hygiene,2017,47.46476,591201125.0623,Basic service
sdg,Central and Southern Asia,urban,Hygiene,2017,77.96735,541300933.26603,Basic service
sdg,Central and Southern Asia,total,Hygiene,2017,37.12723,720202979.39895,Limited service
sdg,Central and Southern Asia,rural,Hygiene,2017,47.00689,585498162.01662,Limited service
sdg,Central and Southern Asia,urban,Hygiene,2017,19.40248,134704816.40239,Limited service
sdg,Central and Southern Asia,total,Hygiene,2017,4.49109,87119224.3506,No handwashing facility
sdg,Central and Southern Asia,rural,Hygiene,2017,5.52835,68858840.10925,No handwashing facility
sdg,Central and Southern Asia,urban,Hygiene,2017,2.63017,18260384.14342,No handwashing facility
sdg,Central and Southern Asia,total,Sanitation,2017,61.39932,1191038956.27436,At least basic
sdg,Central and Southern Asia,urban,Sanitation,2017,73.63795,511243348.13616,At least basic
sdg,Central and Southern Asia,rural,Sanitation,2017,14.90914,185701974.18487,Basic service
sdg,Central and Southern Asia,total,Sanitation,2017,12.45909,241684429.4223,Limited service
sdg,Central and Southern Asia,rural,Sanitation,2017,9.06504,112910290.44209,Limited service
sdg,Central and Southern Asia,urban,Sanitation,2017,18.54824,128774139.56411,Limited service
